iter	RMSE	R2	MAE	MAPE
145	1.105227452	0.6024601957	0.7680934406	0.2346647448
146	1.104949611	0.6026600443	0.7678811558	0.2345683104
147	1.103340298	0.6038166199	0.7672206983	0.2343657841
148	1.100434815	0.6059004527	0.7650583284	0.2337081511
149	1.097680189	0.6078710157	0.7640709912	0.2334636134
150	1.09681925	0.6084858884	0.7638323306	0.2334452624
151	1.095841703	0.609183456	0.7627607137	0.2331675249
152	1.094696102	0.610000154	0.7616780926	0.232878666
153	1.093841541	0.6106088138	0.7612255892	0.2327535228
154	1.092641937	0.6114624273	0.7606630998	0.2325638586
155	1.09178006	0.6120751431	0.7596740744	0.2320750702
156	1.09058867	0.6129213164	0.7585448539	0.2317436347
157	1.088425205	0.614455535	0.7575051246	0.2314027865
158	1.087295886	0.6152551801	0.7568029562	0.2311834388
159	1.086386659	0.6158983795	0.7559366055	0.2309071366
160	1.085081866	0.6168204675	0.7553010813	0.230787335
161	1.084882739	0.6169610914	0.7551951805	0.2307755597
162	1.083440458	0.6179788652	0.7544893244	0.2305508072
163	1.081977128	0.6190101091	0.7535122788	0.2303477567
164	1.081302774	0.619484873	0.7531351575	0.2302448136
165	1.080456319	0.6200803825	0.7526168095	0.2300819599
166	1.07883132	0.621222316	0.7517485015	0.2298553522
167	1.07834466	0.6215639716	0.751451462	0.2297078515
168	1.076537219	0.6228315207	0.7508473166	0.2294756613
169	1.075777718	0.6233635208	0.7498292139	0.2290743013
170	1.074823383	0.6240314613	0.7491034526	0.2288525043
171	1.073673157	0.6248357191	0.7476185194	0.2283272268
172	1.071782504	0.6261558245	0.7458408285	0.2277390121
173	1.071212309	0.6265534937	0.7454437902	0.2276371942
174	1.070732161	0.6268881973	0.7450853162	0.2275047777
175	1.068712399	0.6282944989	0.744062551	0.2271511931
176	1.068369892	0.6285327138	0.7438982061	0.2271202397
177	1.066854931	0.6295854565	0.7428087931	0.226816796
178	1.065058618	0.6308317744	0.741669149	0.2264616071
179	1.064121193	0.6314813453	0.7411034158	0.226290996
180	1.06402124	0.6315505718	0.7409672593	0.226288845
181	1.063488408	0.6319194978	0.7404660745	0.2260839371
182	1.062585343	0.6325443462	0.7396965653	0.2258866355
183	1.061911481	0.6330102585	0.7392317647	0.2257141332
184	1.061049161	0.6336060407	0.7385502581	0.2255263202
185	1.060077736	0.6342766251	0.7381282688	0.2254549863
186	1.057744027	0.6358850963	0.7365138856	0.224999922
187	1.056483355	0.6367525201	0.7356871563	0.2248217826
188	1.055595129	0.6373630549	0.7347295927	0.2245280467
189	1.050014159	0.641187468	0.7327502624	0.2240749406
190	1.049702269	0.6414005953	0.7324369141	0.2239741566
191	1.048761498	0.6420430798	0.731609982	0.2236658016
192	1.047705575	0.6427635199	0.7303708001	0.2232893656
193	1.046734386	0.643425506	0.7298508012	0.2230768822
194	1.046062795	0.6438829195	0.7295928588	0.2230324609
195	1.04504354	0.644576563	0.7286593825	0.2227004264
196	1.041109834	0.6472472649	0.7265284072	0.2222318036
197	1.040240316	0.647836246	0.7258323104	0.2221375351
198	1.039852395	0.648098851	0.7254399383	0.2220062208
199	1.038889491	0.6487502705	0.7249728617	0.2218686692
200	1.038387558	0.6490895967	0.7247330629	0.2218112435
201	1.037221511	0.6498772572	0.7240631708	0.2214903936
202	1.036826339	0.6501439931	0.7238660343	0.2214141935
203	1.03569325	0.6509082513	0.7231312388	0.2211967482
204	1.035015811	0.6513647781	0.722206521	0.2209351673
205	1.031524384	0.6537129188	0.7196802485	0.2202382119
206	1.029362692	0.6551627767	0.7184820897	0.2199386288
207	1.028541614	0.6557126808	0.7179459014	0.2197271336
208	1.027888997	0.6561494473	0.7178353197	0.2196803857
209	1.02719559	0.6566132095	0.7174067878	0.2195213113
210	1.026088788	0.6573528086	0.7170922077	0.2194351965
211	1.024420497	0.658466105	0.7161885868	0.2192576949
212	1.022630181	0.6596588167	0.7153217771	0.2190054572
213	1.021771837	0.6602299075	0.7148284567	0.2188399342
214	1.020933968	0.6607869127	0.714189629	0.2187567231
215	1.020706269	0.6609382054	0.7139106248	0.218662755
216	1.019123452	0.6619889617	0.7132385021	0.2185041357
217	1.018728552	0.6622508624	0.7125532849	0.2183048736
218	1.017846664	0.6628353712	0.7122156071	0.2182525277
219	1.016925674	0.6634452566	0.7113629715	0.217908499
220	1.016076038	0.6640074006	0.7102575766	0.2175489719
221	1.015165039	0.6646096229	0.7098288954	0.21739782
222	1.014182109	0.6652587896	0.7091478372	0.2172089389
223	1.013353547	0.6658055174	0.7085670923	0.2170505787
224	1.012568487	0.666323127	0.7077945835	0.216613936
225	1.011803431	0.6668271626	0.7071259902	0.2164430082
226	1.011299628	0.6671588705	0.7065968578	0.2162532391
227	1.010240836	0.6678554495	0.7060279303	0.2159974189
228	1.008353308	0.669095444	0.7050831931	0.2157529471
229	1.007457823	0.6696829137	0.704291231	0.2154748426
230	1.006570412	0.6702645717	0.7039899112	0.2153919758
231	1.005560596	0.6709258367	0.7033718371	0.2151660781
232	1.005054064	0.6712572828	0.7031378294	0.215121172
233	1.004569232	0.6715743734	0.7026788586	0.2150314454
234	1.004304462	0.6717474745	0.7026037618	0.2150156444
235	1.003452545	0.6723041286	0.7020229859	0.2148074246
236	1.002842877	0.6727022045	0.7016938481	0.2147589993
237	1.001822693	0.6733677804	0.7007414731	0.2144903044
238	1.000993738	0.6739080981	0.7001863155	0.2141903266
239	1.000410421	0.6742880396	0.6997969877	0.2139558054
240	0.9983246991	0.6756447558	0.6988641735	0.2137623305
241	0.9975299041	0.6761610073	0.6979273752	0.2135980834
242	0.9962244449	0.6770080636	0.6971633989	0.2132859471
243	0.9959454588	0.6771889418	0.6969773984	0.213180707
244	0.9954723156	0.6774955842	0.6967159762	0.21309979
245	0.9949740412	0.6778183566	0.6960608825	0.2128600886
246	0.9943831812	0.6782008947	0.6957411054	0.212734436
247	0.9940795415	0.6783973905	0.6954700916	0.2126592943
248	0.9932786962	0.6789153574	0.6949418711	0.2124910027
249	0.9925515237	0.6793853131	0.6942161535	0.2121542224
250	0.9917334702	0.6799135917	0.6938949824	0.2118798598
251	0.9903303524	0.6808186761	0.6927116573	0.2115469358
252	0.9888177742	0.6817929328	0.6916868371	0.2111825174
253	0.9881630883	0.6822141565	0.6913277294	0.2109023607
254	0.9879301086	0.6823639879	0.6911411496	0.2108380762
255	0.9876698727	0.6825313062	0.6908709547	0.2107353872
256	0.9872846904	0.6827788777	0.6901899645	0.2105136507
257	0.9861900841	0.6834818964	0.6894930791	0.2103191211
258	0.9856755455	0.6838120929	0.6888751618	0.2101250544
259	0.9850745805	0.684197534	0.6884412751	0.2100082586
260	0.9845842502	0.6845118432	0.6878577365	0.2098799671
261	0.9841858259	0.6847671239	0.6876785835	0.2097836169
262	0.9838406407	0.6849882096	0.6874871207	0.2097230722
263	0.9832050182	0.6853951126	0.6871903495	0.2096215903
264	0.9810723288	0.6867584637	0.6860305264	0.2092956695
265	0.9807071779	0.6869915946	0.6855172355	0.2092136781
266	0.9797278777	0.6876164012	0.6848645707	0.2089385986
267	0.9784942383	0.6884025911	0.6839281892	0.2085661438
268	0.9781893732	0.6885967269	0.6835088831	0.2084304027
269	0.9776992691	0.6889086947	0.6832949589	0.2083327542
270	0.9769415171	0.6893907217	0.6826013046	0.2081634668
271	0.9763115996	0.6897911451	0.6823760319	0.208073855
272	0.9746620032	0.6908385302	0.6814531439	0.2077814232
273	0.9744274396	0.6909873188	0.6811320627	0.2076655011
274	0.9741274275	0.6911775706	0.6807361802	0.2075481536
275	0.9735990784	0.6915124791	0.6801345454	0.2073262088
276	0.9732106806	0.6917585598	0.6797999471	0.2072687476
277	0.9729359733	0.6919325494	0.6794016252	0.2071367297
278	0.971602306	0.6927765471	0.6786398008	0.2068233119
279	0.9707674653	0.6933042783	0.6779435223	0.20655319
280	0.9705288597	0.6934550257	0.6778308866	0.2065382069
281	0.969874846	0.6938680316	0.6774159447	0.2064278997
282	0.9693533144	0.6941971763	0.6768852473	0.2063066723
283	0.9689594011	0.6944456622	0.6763971195	0.206139234
284	0.9687626934	0.6945697103	0.6762860017	0.2060910124
285	0.9680555589	0.6950154366	0.6758455119	0.205953064
286	0.9668836495	0.6957534064	0.675073212	0.2057560337
287	0.9664450765	0.696029353	0.6748367241	0.2057731663
288	0.9660359262	0.696286674	0.6745017504	0.2056177683
289	0.9637206159	0.6977407565	0.6737188378	0.2053082306
290	0.9622914119	0.6986365966	0.6726226464	0.2049463805
291	0.9618987036	0.6988825174	0.6723678817	0.2048478039
292	0.9614445168	0.699166812	0.6719387063	0.2047061971
293	0.9608532095	0.6995367349	0.6717614548	0.2046492293
294	0.9605410922	0.6997319043	0.6714103801	0.2045306863
295	0.9597145369	0.7002484494	0.6707744125	0.2043440523
296	0.9593925282	0.7004495642	0.6706709088	0.2042876867
297	0.9589186925	0.7007453819	0.6702451404	0.2041440974
298	0.9583315647	0.7011117256	0.6696730811	0.2040164607
299	0.9577148206	0.701496307	0.6690744468	0.2038352403
300	0.9563425398	0.7023511281	0.6679439745	0.2034224259
301	0.9551123843	0.7031163747	0.6671470555	0.2031400169
302	0.9538353633	0.7039097329	0.6659875013	0.2027537438
303	0.9529202708	0.7044775877	0.665328432	0.2026267775
304	0.9528001857	0.7045520653	0.6651762437	0.2025872232
305	0.9523878195	0.7048077462	0.6648692961	0.2024762899
306	0.952278587	0.7048754554	0.6647698324	0.2024585473
307	0.9515063483	0.7053539167	0.6639050141	0.2021115269
308	0.9502286122	0.7061447199	0.6626451022	0.2018099526
309	0.9477888032	0.7076517896	0.6611716388	0.2013932092
310	0.9474571926	0.7078563263	0.6606016683	0.2011515501
311	0.9471955678	0.7080176454	0.6605068446	0.2011574902
312	0.9465657725	0.7084057975	0.6599343423	0.2010115006
313	0.9462852061	0.7085786316	0.65950797	0.2008866978
314	0.9453497355	0.7091545285	0.6590032645	0.2006946143
315	0.9447410973	0.7095289141	0.6585262323	0.2004714509
316	0.9431580152	0.7105015707	0.6575095614	0.2002170999
317	0.9426717278	0.7108000215	0.6570039017	0.2000456541
318	0.9416702585	0.7114141718	0.6568995492	0.2000314132
319	0.9408034861	0.7119451923	0.656084144	0.1998303513
320	0.939817349	0.7125487459	0.6556577481	0.1996447727
321	0.9391959561	0.712928737	0.6553324851	0.199433357
322	0.9388891692	0.7131162491	0.654950415	0.199340115
323	0.9381114599	0.7135913207	0.6543013865	0.1991615335
324	0.9376776996	0.7138561165	0.6539178207	0.1990705407
325	0.9369370583	0.7143079696	0.6536196013	0.1989263498
326	0.9365821576	0.7145243621	0.6534549126	0.1989248383
327	0.936137165	0.7147955703	0.6531859327	0.1988690151
328	0.935733158	0.7150416875	0.652596787	0.1987287158
329	0.9349284107	0.7155316152	0.6519968458	0.1984721118
330	0.9345333946	0.7157719456	0.6517205465	0.1983199192
331	0.9343644515	0.7158747007	0.651576436	0.1982683086
332	0.9335524227	0.716368336	0.650674101	0.1980736176
333	0.9331559779	0.7166091804	0.6500625331	0.1979229923
334	0.9326009919	0.7169461684	0.6495038175	0.1978123572
335	0.9322751657	0.7171439169	0.6491045332	0.1976915698
336	0.9321726762	0.717206105	0.6489651397	0.1976406767
337	0.9318517965	0.7174007625	0.6484918117	0.1974423534
338	0.9313211052	0.7177225524	0.6479685342	0.1972672486
339	0.9310616227	0.7178798254	0.6478767413	0.1972161042
340	0.9307763047	0.7180527069	0.6477486272	0.1971630548
341	0.9301866211	0.7184098432	0.6472067799	0.1970524996
342	0.9294101001	0.7188797906	0.6465682963	0.1968453598
343	0.9286494497	0.7193397527	0.6457712859	0.1965415559
344	0.9279962034	0.7197344674	0.6450874155	0.196328847
345	0.927286275	0.7201631164	0.6446607167	0.1962227832
346	0.9264674885	0.7206570858	0.6439645338	0.1959939882
347	0.9257816896	0.7210704887	0.6435651703	0.1959279231
348	0.9252119096	0.721413722	0.6433373887	0.1958993483
349	0.9245715071	0.7217992457	0.6428933164	0.1957388036
350	0.9241683556	0.722041807	0.6424438102	0.195596396
351	0.9234235376	0.7224896579	0.641868129	0.1954258367
352	0.9228461564	0.7228365826	0.6414657236	0.1952896321
353	0.9225798192	0.7229965405	0.6412782657	0.1952572467
354	0.9219750429	0.7233595881	0.6407667256	0.1951050762
355	0.9214016339	0.7237035861	0.6402847706	0.1949763039
356	0.9212595949	0.7237887647	0.6402058299	0.1949452808
